,ticker,name,sector,sub-industry,price,pe,roa
324,MNST,Monster Beverage,Consumer Staples,Soft Drinks,85.6500015258789,29.95,16.99
325,MCO,Moody's,Financials,Financial Exchanges & Data,322.4200134277344,28.89,13.63
326,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,84.73999786376953,10.82,
327,MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals,66.7699966430664,14.29,6.19
328,MSI,Motorola Solutions,Information Technology,Communications Equipment,224.92999267578125,31.05,10.67
329,MSCI,MSCI,Financials,Financial Exchanges & Data,456.0400085449219,55.34,14.13
330,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,166.85000610351562,24.28,5.94
331,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",76.01000213623047,18.48,8.08
332,NFLX,Netflix,Communication Services,Movies & Entertainment,215.52000427246094,19.43,10.01
333,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,22.719999313354492,16.11,4.48
334,NEM,Newmont,Materials,Gold,74.5199966430664,29.37,5.78
335,NWSA,News Corp (Class A),Communication Services,Publishing,20.860000610351562,25.13,3.3
336,NWS,News Corp (Class B),Communication Services,Publishing,21.110000610351562,25.43,3.3
337,NEE,NextEra Energy,Utilities,Multi-Utilities,73.94999694824219,120.44,1.33
338,NLSN,Nielsen,Industrials,Research & Consulting Services,26.81999969482422,12.29,4.11
339,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",129.07000732421875,33.88,12.35
340,NI,NiSource,Utilities,Multi-Utilities,30.8700008392334,28.19,2.74
341,NDSN,Nordson,Industrials,Industrial Machinery,220.3800048828125,28.47,10.9
342,NSC,Norfolk Southern,Industrials,Railroads,258.5899963378906,22.26,7.16
343,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,106.19000244140625,16.75,0.86
344,NOC,Northrop Grumman,Industrials,Aerospace & Defense,447.3999938964844,15.78,10.76
345,NLOK,NortonLifeLock,Information Technology,Application Software,25.520000457763672,17.06,11.43
346,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",21.1299991607666,,-8.35
347,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,37.90999984741211,3.8,13.15
348,NUE,Nucor,Materials,Steel,161.0500030517578,9.72,19.09
349,NVDA,Nvidia,Information Technology,Semiconductors,195.14999389648438,60.18,15.93
350,NVR,NVR,Consumer Discretionary,Homebuilding,4282.8798828125,13.89,17.45
351,NXPI,NXP,Information Technology,Semiconductors,170.75,30.57,7.05
352,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,707.77001953125,24.59,14.3
353,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,56.619998931884766,,1.4
354,ODFL,Old Dominion,Industrials,Trucking,269.0299987792969,33.27,18.93
355,OMC,Omnicom Group,Communication Services,Advertising,79.01000213623047,12.31,4.71
356,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,69.27999877929688,21.68,6.59
357,ORCL,Oracle,Information Technology,Application Software,76.20999908447266,21.51,9.2
358,OGN,Organon,Health Care,Pharmaceuticals,32.2599983215332,5.4,
359,OTIS,Otis,Industrials,Industrial Machinery,73.41999816894531,26.23,12.13
360,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,85.69000244140625,17.07,4.97
361,PKG,Packaging Corporation of America,Materials,Paper Packaging,161.17999267578125,20.53,8.91
